date,key,mobility_driving,mobility_transit,mobility_walking,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential
2020-05-12,CH_OW,,,,,,,-39,-16,
2020-05-12,CH_SG,,,,-23,9,45,-21,-18,10
2020-05-12,CH_SH,,,,,,,-24,-19,
2020-05-12,CH_SO,,,,-30,11,,-29,-19,11
2020-05-12,CH_SZ,,,,-12,9,,-23,-19,11
2020-05-12,CH_TG,,,,-25,13,,-24,-17,10
2020-05-12,CH_TI,,,,-35,-4,21,-33,-29,13
2020-05-12,CH_UR,,,,,,,-40,-15,
2020-05-12,CH_VD,,,,-34,-7,-10,-38,-36,16
2020-05-12,CH_VS,,,,-38,-5,-25,-33,-25,10
2020-05-12,CH_ZG,,,,-30,4,,-43,-31,16
2020-05-12,CH_ZH,,,,-35,5,36,-42,-36,17
2020-05-12,CI,,,,-15,-1,-10,-21,-15,13
2020-05-12,CL,,,,-60,-39,-60,-61,-44,24
2020-05-12,CL_AI,,,,-54,-32,-57,-73,-19,15
2020-05-12,CL_AN,,,,-63,-51,-66,-59,-42,23
2020-05-12,CL_AP,,,,-69,-49,-76,-64,-45,23
2020-05-12,CL_AR,,,,-62,-48,-63,-60,-37,21
2020-05-12,CL_AT,,,,-47,-30,-55,-55,-23,19
2020-05-12,CL_BI,,,,-53,-35,-54,-48,-31,19
2020-05-12,CL_CO,,,,-62,-43,-74,-53,-32,18
2020-05-12,CL_LI,,,,-43,-32,-48,-42,-24,18
2020-05-12,CL_LL,,,,-55,-43,-60,-55,-26,18
2020-05-12,CL_LR,,,,-61,-45,-70,-62,-33,19
2020-05-12,CL_MA,,,,-56,-42,-57,-78,-35,16
2020-05-12,CL_ML,,,,-47,-35,-48,-45,-21,18
2020-05-12,CL_NB,,,,-50,-40,-39,-71,-52,16
2020-05-12,CL_RM,,,,-66,-38,-60,-66,-55,29
2020-05-12,CL_TA,,,,-60,-36,-66,-42,-32,20
2020-05-12,CL_VS,,,,-58,-41,-65,-53,-35,20
2020-05-12,CM,,,,-14,-10,-17,-12,-13,10
2020-05-12,CO,,,,-64,-40,-54,-61,-49,27
2020-05-12,CO_05,,,,-63,-43,-51,-63,-48,25
2020-05-12,CO_08,,,,-70,-50,-61,-75,-55,25
2020-05-12,CO_11,,,,-64,-35,-52,-62,-57,33
2020-05-12,CO_13,,,,-72,-53,-69,-82,-54,24
2020-05-12,CO_15,,,,-62,-42,-53,-57,-42,25
2020-05-12,CO_17,,,,-66,-48,-55,-82,-47,24
2020-05-12,CO_18,,,,-60,-29,-49,,-37,22
2020-05-12,CO_19,,,,-64,-41,-53,-53,-39,22
2020-05-12,CO_20,,,,-61,-42,-48,-71,-40,20
2020-05-12,CO_23,,,,-60,-40,-39,-46,-43,20
2020-05-12,CO_25,,,,-58,-37,-50,-55,-42,28
2020-05-12,CO_27,,,,,,-44,-66,-32,16
2020-05-12,CO_41,,,,-59,-40,-54,,-42,22
2020-05-12,CO_44,,,,-62,-38,-52,-63,-39,19
2020-05-12,CO_47,,,,-66,-48,-67,-78,-45,20
2020-05-12,CO_50,,,,-65,-49,-49,-49,-43,26
2020-05-12,CO_52,,,,-70,-53,-56,-64,-46,24
2020-05-12,CO_54,,,,-64,-39,-57,-79,-44,22
2020-05-12,CO_63,,,,-70,-46,-65,-80,-47,23
2020-05-12,CO_66,,,,-65,-38,-62,-77,-50,24
2020-05-12,CO_68,,,,-63,-38,-54,-58,-47,24
2020-05-12,CO_70,,,,-59,-35,-46,-84,-35,19
2020-05-12,CO_73,,,,-63,-41,-47,-76,-45,24
2020-05-12,CO_76,,,,-61,-42,-55,-55,-45,23
2020-05-12,CO_81,,,,,-20,-44,-45,-33,
2020-05-12,CO_85,,,,-61,-42,-44,-66,-33,22
2020-05-12,CO_86,,,,-51,,-41,,-30,20
2020-05-12,CO_88,,,,-71,-58,-76,-75,-41,
2020-05-12,CO_91,,,,,,-70,,-52,
2020-05-12,CO_95,,,,,,-50,,-29,
2020-05-12,CO_99,,,,,,-22,,,
2020-05-12,CR,,,,-37,-22,-44,-44,-32,16
2020-05-12,CV,,,,-52,-37,-47,-68,-51,21
2020-05-12,CZ,,,,-28,13,4,-24,-24,10
2020-05-12,CZ_10,,,,-43,6,-10,-32,-37,13
2020-05-12,CZ_20,,,,-9,16,40,-7,-25,11
2020-05-12,CZ_31,,,,-25,12,20,-15,-19,8
2020-05-12,CZ_32,,,,-19,9,33,-13,-22,9
2020-05-12,CZ_41,,,,-25,12,-29,-29,-22,9
2020-05-12,CZ_42,,,,-18,19,25,-17,-20,8
2020-05-12,CZ_51,,,,-30,21,-9,-20,-20,10
2020-05-12,CZ_52,,,,-30,11,0,-28,-20,9
2020-05-12,CZ_53,,,,-26,12,19,-35,-19,10
2020-05-12,CZ_63,,,,-23,16,19,-15,-19,9
2020-05-12,CZ_64,,,,-29,10,29,-17,-26,11
2020-05-12,CZ_71,,,,-23,16,28,-28,-19,9
2020-05-12,CZ_72,,,,-24,11,-1,-26,-19,10
2020-05-12,CZ_80,,,,-24,16,-8,-26,-22,10
2020-05-12,DE,,,,-31,-4,14,-35,-26,11
2020-05-12,DE_BB,,,,-24,0,3,-27,-20,9
2020-05-12,DE_BE,,,,-42,-2,-13,-40,-36,14
2020-05-12,DE_BW,,,,-32,-5,29,-34,-27,12
2020-05-12,DE_BY,,,,-32,-3,20,-38,-27,12
2020-05-12,DE_HB,,,,-40,-9,-20,-44,-31,12
2020-05-12,DE_HE,,,,-33,-7,30,-48,-31,12
2020-05-12,DE_HH,,,,-49,-7,-10,-46,-39,16
2020-05-12,DE_MV,,,,-25,-5,-13,-29,-19,8
2020-05-12,DE_NI,,,,-28,-7,12,-33,-27,11
2020-05-12,DE_NW,,,,-26,-4,30,-35,-27,11
2020-05-12,DE_RP,,,,-26,-4,26,-40,-25,11
2020-05-12,DE_SH,,,,-30,-3,7,-32,-28,11
2020-05-12,DE_SL,,,,-29,-8,34,-43,-27,10
2020-05-12,DE_SN,,,,-26,-1,30,-25,-21,9
2020-05-12,DE_ST,,,,-25,-3,2,-25,-16,7
2020-05-12,DE_TH,,,,-25,-5,17,-20,-19,8
2020-05-12,DK,,,,-21,1,42,-36,-31,11
2020-05-12,DO,,,,-61,-41,-52,-74,-58,26
2020-05-12,EC,,,,-64,-46,-60,-67,-65,30
2020-05-12,EE,,,,-16,-2,37,-25,-38,12
2020-05-12,EG,,,,-50,0,-38,-41,-25,14
2020-05-12,ES,,,,-70,-29,-35,-60,-53,21
2020-05-12,ES_AN,,,,-69,-36,-44,-63,-51,19
2020-05-12,ES_AR,,,,-63,-24,-2,-51,-46,18
2020-05-12,ES_AS,,,,-65,-21,-20,-36,-47,16
2020-05-12,ES_CB,,,,-64,-22,4,-43,-47,17
2020-05-12,ES_CE,,,,-75,-40,-61,,-49,
2020-05-12,ES_CL,,,,-76,-34,-38,-62,-50,19
2020-05-12,ES_CM,,,,-75,-37,-59,-68,-49,21
2020-05-12,ES_CN,,,,-68,-32,-49,-58,-52,17
2020-05-12,ES_CT,,,,-71,-24,-27,-56,-56,25
2020-05-12,ES_EX,,,,-65,-27,-28,-46,-44,14
2020-05-12,ES_GA,,,,-63,-19,1,-52,-46,17
2020-05-12,ES_IB,,,,-54,-22,-4,-53,-44,16
2020-05-12,ES_MC,,,,-59,-21,-19,-39,-42,15
2020-05-12,ES_MD,,,,-82,-34,-66,-73,-66,30
2020-05-12,ES_ML,,,,-66,-35,-30,-73,-46,17
2020-05-12,ES_NC,,,,-59,-17,-11,-62,-44,17
2020-05-12,ES_PV,,,,-65,-19,-6,-45,-49,21
2020-05-12,ES_RI,,,,-59,-25,-20,-50,-42,15
2020-05-12,ES_VC,,,,-71,-33,-37,-64,-50,21
2020-05-12,FI,,,,-35,-7,68,-48,-43,13
2020-05-12,FJ,,,,-18,-11,-10,-25,-15,13
2020-05-12,FR,,,,-45,-5,-15,-51,-47,18
2020-05-12,FR_ARA,,,,-48,-8,-25,-53,-46,19
2020-05-12,FR_BFC,,,,-40,-5,-1,-40,-41,16
2020-05-12,FR_BRE,,,,-39,-2,28,-42,-40,16
2020-05-12,FR_COR,,,,-41,-9,3,-32,-36,12
2020-05-12,FR_CVL,,,,-38,-3,-12,-47,-42,17
2020-05-12,FR_GES,,,,-42,-4,-5,-49,-43,17
2020-05-12,FR_HDF,,,,-38,-5,0,-54,-44,17
2020-05-12,FR_IDF,,,,-57,-4,-54,-57,-60,25
2020-05-12,FR_NAQ,,,,-40,-6,-10,-44,-40,16
2020-05-12,FR_NOR,,,,-37,-1,-1,-51,-40,15
2020-05-12,FR_OCC,,,,-41,-5,-5,-45,-44,16
2020-05-12,FR_PAC,,,,-40,-4,12,-40,-43,15
2020-05-12,FR_PDL,,,,-41,-4,16,-50,-43,17
2020-05-12,GA,,,,-27,-17,-15,-32,-26,20
2020-05-12,GB,,,,-68,-23,7,-62,-62,24
2020-05-12,GB_ENG,,,,,,,,,
2020-05-12,GB_ENG_E06000001,,,,-65,-20,,-34,-52,19
2020-05-12,GB_ENG_E06000002,,,,-66,-24,,-61,-52,19
2020-05-12,GB_ENG_E06000003,,,,-59,-16,,-35,-52,19
2020-05-12,GB_ENG_E06000004,,,,-64,-22,4,-32,-55,21
2020-05-12,GB_ENG_E06000005,,,,-65,-23,,-59,-55,22
2020-05-12,GB_ENG_E06000006,,,,-58,-18,,-49,-56,22
2020-05-12,GB_ENG_E06000007,,,,-66,-25,,-60,-60,25
2020-05-12,GB_ENG_E06000008,,,,-66,-20,,-56,-53,22
2020-05-12,GB_ENG_E06000009,,,,-70,-14,20,-42,-53,19
2020-05-12,GB_ENG_E06000010,,,,-62,-20,9,-55,-53,20
2020-05-12,GB_ENG_E06000011,,,,-65,-18,13,-36,-55,22
2020-05-12,GB_ENG_E06000012,,,,-64,-18,2,-47,-47,18
2020-05-12,GB_ENG_E06000013,,,,-57,-17,0,-32,-49,19
2020-05-12,GB_ENG_E06000014,,,,-73,-31,-21,-72,-69,26
2020-05-12,GB_ENG_E06000015,,,,-67,-19,38,-72,-59,23
2020-05-12,GB_ENG_E06000016,,,,-66,-23,0,-69,-56,21
2020-05-12,GB_ENG_E06000017,,,,,,,,-60,
2020-05-12,GB_ENG_E06000018,,,,-76,-31,12,-70,-63,23
2020-05-12,GB_ENG_E06000019,,,,-65,-26,14,-31,-48,20
2020-05-12,GB_ENG_E06000021,,,,-63,-19,24,-62,-54,21
2020-05-12,GB_ENG_E06000022,,,,-81,-31,15,-63,-70,26
2020-05-12,GB_ENG_E06000023,,,,-75,-28,57,-74,-70,28
2020-05-12,GB_ENG_E06000024,,,,-62,-20,55,-68,-61,24
2020-05-12,GB_ENG_E06000025,,,,-65,-23,79,-57,-64,27
2020-05-12,GB_ENG_E06000026,,,,-68,-28,27,-57,-59,22
2020-05-12,GB_ENG_E06000027,,,,-64,-14,63,-36,-54,19
2020-05-12,GB_ENG_E06000030,,,,-66,-26,,-63,-62,25
2020-05-12,GB_ENG_E06000031,,,,-61,-21,,-65,-54,21
2020-05-12,GB_ENG_E06000032,,,,-63,-12,,-82,-56,23
2020-05-12,GB_ENG_E06000033,,,,-71,-15,56,-64,-63,24
2020-05-12,GB_ENG_E06000034,,,,-68,-24,-3,-53,-57,24
2020-05-12,GB_ENG_E06000035,,,,-61,-16,40,-59,-58,24
2020-05-12,GB_ENG_E06000036,,,,-65,-22,,-58,-68,29
2020-05-12,GB_ENG_E06000037,,,,-73,-26,-40,-63,-67,28
2020-05-12,GB_ENG_E06000038,,,,-75,-25,,-81,-70,30
2020-05-12,GB_ENG_E06000039,,,,-56,-23,23,-71,-61,26
2020-05-12,GB_ENG_E06000040,,,,-73,-20,-19,-66,-70,29
2020-05-12,GB_ENG_E06000041,,,,-66,-28,,-66,-73,30
2020-05-12,GB_ENG_E06000042,,,,-68,-25,12,-68,-65,26
2020-05-12,GB_ENG_E06000043,,,,-75,-30,36,-65,-71,26
2020-05-12,GB_ENG_E06000044,,,,-69,-25,,-57,-60,23
2020-05-12,GB_ENG_E06000045,,,,-74,-19,17,-60,-60,24
2020-05-12,GB_ENG_E06000046,,,,-62,-22,25,-48,-54,19
2020-05-12,GB_ENG_E06000047,,,,-62,-18,6,-45,-58,22
2020-05-12,GB_ENG_E06000049,,,,-67,-23,4,-60,-62,25
2020-05-12,GB_ENG_E06000050,,,,-72,-22,1,-59,-62,24
2020-05-12,GB_ENG_E06000051,,,,-65,-21,1,-45,-56,22
2020-05-12,GB_ENG_E06000052,,,,-62,-26,14,-36,-56,19
2020-05-12,GB_ENG_E06000054,,,,-64,-23,9,-47,-61,24
2020-05-12,GB_ENG_E06000055,,,,-67,-21,,-59,-58,25
2020-05-12,GB_ENG_E06000056,,,,-63,-18,33,-51,-63,27
2020-05-12,GB_ENG_E06000057,,,,-65,-16,-15,-41,-56,21
2020-05-12,GB_ENG_E06000059,,,,-68,-21,30,-44,-60,22
2020-05-12,GB_ENG_E08000003,,,,-67,-25,-13,-69,-61,24
2020-05-12,GB_ENG_E09000001,,,,-75,-27,6,-73,-70,30
2020-05-12,GB_ENG_E10000002,,,,-66,-25,18,-61,-66,28
2020-05-12,GB_ENG_E10000003,,,,-74,-25,-1,-68,-65,27
2020-05-12,GB_ENG_E10000006,,,,-64,-23,-18,-51,-60,22
2020-05-12,GB_ENG_E10000007,,,,-68,-18,22,-45,-57,23
2020-05-12,GB_ENG_E10000008,,,,-67,-23,23,-46,-57,21
2020-05-12,GB_ENG_E10000011,,,,-66,-21,20,-48,-59,22
2020-05-12,GB_ENG_E10000012,,,,-63,-22,9,-67,-61,25
2020-05-12,GB_ENG_E10000013,,,,-69,-24,13,-48,-59,24
2020-05-12,GB_ENG_E10000014,,,,-67,-22,24,-56,-62,25
2020-05-12,GB_ENG_E10000015,,,,-65,-24,20,-69,-66,28
2020-05-12,GB_ENG_E10000016,,,,-65,-24,24,-52,-60,23
2020-05-12,GB_ENG_E10000017,,,,-63,-20,27,-54,-56,22
2020-05-12,GB_ENG_E10000018,,,,-65,-20,16,-51,-60,25
2020-05-12,GB_ENG_E10000019,,,,-65,-19,-9,-50,-53,20
2020-05-12,GB_ENG_E10000020,,,,-69,-24,-7,-54,-55,21
2020-05-12,GB_ENG_E10000021,,,,-65,-18,2,-48,-56,23
2020-05-12,GB_ENG_E10000023,,,,-68,-22,-11,-49,-57,22
2020-05-12,GB_ENG_E10000024,,,,-65,-20,9,-45,-58,23
2020-05-12,GB_ENG_E10000025,,,,-71,-25,10,-65,-66,28
2020-05-12,GB_ENG_E10000027,,,,-64,-20,11,-41,-53,21
2020-05-12,GB_ENG_E10000028,,,,-64,-20,5,-51,-58,23
2020-05-12,GB_ENG_E10000029,,,,-68,-25,4,-47,-56,22
2020-05-12,GB_ENG_E10000030,,,,-69,-25,2,-66,-69,29
2020-05-12,GB_ENG_E10000031,,,,-66,-20,13,-54,-62,26
2020-05-12,GB_ENG_E10000032,,,,-65,-21,34,-74,-61,24
2020-05-12,GB_ENG_E10000034,,,,-66,-21,38,-51,-59,24
2020-05-12,GB_NIR,,,,,,,,,
2020-05-12,GB_NIR_N09000001,,,,-57,-17,,-71,-60,25
2020-05-12,GB_NIR_N09000002,,,,-57,-18,-1,,-51,22
2020-05-12,GB_NIR_N09000003,,,,-68,-24,-26,-67,-66,24
2020-05-12,GB_NIR_N09000004,,,,-63,-11,-23,-46,-55,21
2020-05-12,GB_NIR_N09000005,,,,-52,-8,-32,-42,-55,20
2020-05-12,GB_NIR_N09000006,,,,-61,-17,,-41,-51,21
2020-05-12,GB_NIR_N09000007,,,,-62,-22,,-54,-63,27
2020-05-12,GB_NIR_N09000008,,,,-59,-8,,-61,-57,23
2020-05-12,GB_NIR_N09000009,,,,-53,-18,,-28,-49,22
2020-05-12,GB_NIR_N09000010,,,,-57,-11,-12,-41,-56,23
2020-05-12,GB_NIR_N09000011,,,,-56,-13,-31,-59,-63,24
2020-05-12,GB_SCT,,,,,,,,,
2020-05-12,GB_SCT_S08000016,,,,-63,-26,-13,-41,-57,20
2020-05-12,GB_SCT_S08000017,,,,-61,-19,-20,-50,-52,17
2020-05-12,GB_SCT_S08000022,,,,-70,-30,-45,-61,-63,22
2020-05-12,GB_SCT_S08000025,,,,,,,,-59,
2020-05-12,GB_SCT_S08000026,,,,,,,-53,-54,
2020-05-12,GB_SCT_S08000029,,,,-64,-17,-1,-50,-61,23
2020-05-12,GB_WLS,,,,,,,,,
2020-05-12,GB_WLS_W11000024,,,,-63,-24,-7,-31,-52,19
2020-05-12,GB_WLS_W11000029,,,,-73,-27,-8,-70,-68,26
2020-05-12,GB_WLS_W11000031,,,,-64,-29,33,-60,-60,22
2020-05-12,GE,,,,-48,-25,-7,-47,-58,15
2020-05-12,GH,,,,-19,-6,-14,-22,-18,13
2020-05-12,GR,,,,-32,9,53,-32,-29,11
2020-05-12,GT,,,,-51,-38,-42,-65,-40,23
2020-05-12,GW,,,,,,-15,,-30,
2020-05-12,HK,,,,-19,-2,-19,-27,-11,12
2020-05-12,HN,,,,-65,-40,-42,-68,-52,22
2020-05-12,HR,,,,-24,-10,-8,-50,-33,12
2020-05-12,HT,,,,-29,-23,-16,-43,-29,9
2020-05-12,HU,,,,-32,-7,-7,-44,-38,15
2020-05-12,ID,,,,-38,-13,-33,-54,-35,18
2020-05-12,ID_AC,,,,-20,0,-25,-46,-22,10
2020-05-12,ID_BA,,,,-43,-33,-61,-77,-40,20
2020-05-12,ID_BB,,,,-25,-3,-25,-64,-26,14
2020-05-12,ID_BE,,,,-27,-12,-38,-61,-29,15
2020-05-12,ID_BT,,,,-36,-16,-31,-65,-37,22
2020-05-12,ID_GO,,,,-39,-19,-19,-63,-34,20
2020-05-12,ID_JA,,,,-27,-11,-23,-56,-26,13
2020-05-12,ID_JB,,,,-58,-12,-32,-50,-39,20
2020-05-12,ID_JI,,,,-25,-7,-28,-51,-31,16
2020-05-12,ID_JK,,,,-55,-24,-94,-64,-49,24
2020-05-12,ID_JT,,,,-18,-2,-21,-46,-29,14
2020-05-12,ID_KB,,,,-40,-16,-27,-50,-27,13
2020-05-12,ID_KI,,,,-30,-8,-21,-55,-27,15
2020-05-12,ID_KR,,,,-33,-14,-31,-70,-22,16
2020-05-12,ID_KS,,,,-34,-15,-30,-53,-30,15
2020-05-12,ID_KT,,,,-36,-19,-32,-45,-26,13
2020-05-12,ID_KU,,,,-38,-11,-30,-46,-26,15
2020-05-12,ID_LA,,,,-20,0,-22,-41,-31,13
2020-05-12,ID_MA,,,,-39,-30,-20,-57,-30,15
2020-05-12,ID_MU,,,,-27,0,-21,-39,-23,12
2020-05-12,ID_NB,,,,-31,-11,-36,-58,-27,15
2020-05-12,ID_NT,,,,-31,-16,-10,-56,-20,13
2020-05-12,ID_PA,,,,-39,-24,-30,-52,-27,15
2020-05-12,ID_PB,,,,-30,-16,-34,-63,-26,16
2020-05-12,ID_RI,,,,-32,-17,-15,-52,-26,14
2020-05-12,ID_SA,,,,-42,-19,-27,-59,-31,16
2020-05-12,ID_SB,,,,-41,-17,-43,-55,-37,17
2020-05-12,ID_SG,,,,-30,-8,-20,-58,-23,14
2020-05-12,ID_SN,,,,-43,-18,-24,-64,-37,18
2020-05-12,ID_SR,,,,-26,-14,-50,-56,-26,15
2020-05-12,ID_SS,,,,-30,-13,-17,-48,-29,14
2020-05-12,ID_ST,,,,-28,-7,-8,-57,-22,13
2020-05-12,ID_SU,,,,-33,-15,-33,-49,-29,14
2020-05-12,IE,,,,-66,-11,29,-59,-60,25
2020-05-12,IL,,,,-38,1,16,-26,-36,16
2020-05-12,IN,,,,-78,-28,-57,-55,-52,24
2020-05-12,IN_AN,,,,-84,,-76,-77,-40,25
2020-05-12,IN_AP,,,,-78,-27,-57,-48,-40,23
2020-05-12,IN_AR,,,,-61,2,-8,-45,-13,8
2020-05-12,IN_AS,,,,-75,-28,-23,-51,-26,16
2020-05-12,IN_BR,,,,-73,-3,-8,-48,-27,11
2020-05-12,IN_CH,,,,-84,-60,-97,-69,-61,28
2020-05-12,IN_CT,,,,-68,4,-54,-50,-24,15
2020-05-12,IN_DD,,,,-74,-30,-81,-39,-26,22
2020-05-12,IN_DL,,,,-83,-53,-95,-75,-71,31
